ID_x,Team_Name,Opponent_Name,Year,Owner_Team_Code,PlayNum,Possession,Yard,Hash,Down,Distance,Drive,Quarter,D_Formation,Formation,Formation_Strength,Play_Type,Play_Type_Dir,Pass_Zone,Coverage,Pressure_Left,Pressure_Middle,Pressure_Right,Result,Result_BallCarrier,Event,Result_Lat,Result_Lon,Play_Lat,Play_Lon,Simplified,ID_y,Team_Code,Wide_Recievers,Tight_Ends,Running_Backs,Image
244,Burnsville,Park,2021,EVHS22,12,Park,28,Right,2,13,2,1,3-4,Double Wide,Left,Pocket Pass,Unknown,Deep - Left,Man 0,0,1,0,0,-99,,2.8,5.045,2.8,6.0,false,18,EVHS22,4,0,1,/Dev
142,Burnsville,Park,2021,EVHS22,13,Park,28,Right,3,13,2,1,3-4,Trips Flex,Left,Pocket Pass,Unknown,Non Passing Play,Zone 4,0,0,0,7,-99,,3.5,5.045,2.8,6.0,false,19,EVHS22,4,0,1,/Dev
245,Burnsville,Park,2021,EVHS22,13,Park,28,Right,3,13,2,1,3-4,Trips Flex,Left,Pocket Pass,Unknown,Non Passing Play,Zone 4,0,0,0,7,-99,,3.5,5.045,2.8,6.0,false,19,EVHS22,4,0,1,/Dev
143,Burnsville,Park,2021,EVHS22,14,Burnsville,32,Right,1,10,3,1,3-4,Twins,Right,Outside Run,Left,Non Passing Play,Man 1,0,0,0,1,-99,,3.3,5.045,3.2,6.0,false,23,EVHS22,2,1,2,/Dev
246,Burnsville,Park,2021,EVHS22,14,Burnsville,32,Right,1,10,3,1,3-4,Twins,Right,Outside Run,Left,Non Passing Play,Man 1,0,0,0,1,-99,,3.3,5.045,3.2,6.0,false,23,EVHS22,2,1,2,/Dev
247,Burnsville,Park,2021,EVHS22,15,Burnsville,33,Middle,2,9,3,1,3-4,Pro,Left,Inside Run,Left,Non Passing Play,Man 1,0,1,0,1,-99,,3.4,5.045,3.3,4.0,false,22,EVHS22,2,1,2,/Dev
144,Burnsville,Park,2021,EVHS22,15,Burnsville,33,Middle,2,9,3,1,3-4,Pro,Left,Inside Run,Left,Non Passing Play,Man 1,0,1,0,1,-99,,3.4,5.045,3.3,4.0,false,22,EVHS22,2,1,2,/Dev
248,Burnsville,Park,2021,EVHS22,16,Burnsville,34,Left,3,8,3,1,3-4,Spread,Left,Pocket Pass,Unknown,Middle - Middle,Man 1,0,1,0,0,-99,,3.4,5.045,3.4,5.045,false,15,EVHS22,3,1,1,/Dev
145,Burnsville,Park,2021,EVHS22,16,Burnsville,34,Left,3,8,3,1,3-4,Spread,Left,Pocket Pass,Unknown,Middle - Middle,Man 1,0,1,0,0,-99,,3.4,5.045,3.4,5.045,false,15,EVHS22,3,1,1,/Dev
249,Burnsville,Park,2021,EVHS22,17,Park,57,Right,1,10,4,1,3-4,Double Wide,Right,Boot Pass,Unknown,Flats - Right,Zone 4,0,1,0,2,-99,,5.9,5.045,5.7,6.0,false,18,EVHS22,4,0,1,/Dev
146,Burnsville,Park,2021,EVHS22,17,Park,57,Right,1,10,4,1,3-4,Double Wide,Right,Boot Pass,Unknown,Flats - Right,Zone 4,0,1,0,2,-99,,5.9,5.045,5.7,6.0,false,18,EVHS22,4,0,1,/Dev
147,Burnsville,Park,2021,EVHS22,18,Park,59,Right,2,8,4,1,3-4,Double Wide,Left,Pocket Pass,Unknown,Non Passing Play,Zone 4,0,0,0,-9,-99,,5.0,5.045,5.9,6.0,false,18,EVHS22,4,0,1,/Dev
