ID,Team_Name,Opponent_Name,Year,Owner_Team_Code,PlayNum,Possession,Yard,Hash,Down,Distance,Drive,Quarter,D_Formation,Formation,Formation_Strength,Play_Type,Play_Type_Dir,Pass_Zone,Coverage,Pressure_Left,Pressure_Middle,Pressure_Right,Result,Result_BallCarrier,Result_Lat,Result_Lon,Play_Lat,Play_Lon,Simplified
56,Burnsville,Farmington,2021,EVHS22,28,Farmington,47,Middle,2,10,5,1,4-3,Trips Flex,Right,Pocket Pass,Not Selected,Middle - Left,Zone 3,0,0,0,15,-99,6.2,5.045,4.7,4.0,false
57,Burnsville,Farmington,2021,EVHS22,29,Farmington,60,Left,1,10,5,1,4-3,Double Wide,Right,Pocket Pass,Not Selected,Flats - Left,Zone 3,0,0,0,0,-99,6.0,5.045,6.0,5.045,false
58,Burnsville,Farmington,2021,EVHS22,30,Farmington,60,Left,2,10,5,1,4-3,Double Wide,Right,Outside Run,Left,Non Passing Play,Man 1,0,0,0,9,-99,6.9,5.045,6.0,5.045,false
59,Burnsville,Farmington,2021,EVHS22,31,Farmington,69,Left,3,1,5,1,4-3,Wide,Left,Inside Run,Left,Non Passing Play,Man 1,0,0,0,1,-99,7.0,5.045,6.9,5.045,false
60,Burnsville,Farmington,2021,EVHS22,32,Farmington,70,Left,1,10,5,1,4-3,Wide,Left,Outside Run,Right,Non Passing Play,Man 1,1,0,0,21,-99,9.1,5.045,7.0,5.045,false
61,Burnsville,Farmington,2021,EVHS22,33,Farmington,91,Right,1,10,5,1,4-3,Trips Flex,Left,Inside Run,Right,Non Passing Play,Man 1,1,0,0,2,-99,9.3,5.045,9.1,6.0,false
62,Burnsville,Farmington,2021,EVHS22,34,Farmington,93,Right,2,8,5,1,4-3,Trips Flex,Left,Pocket Pass,Not Selected,Flats - Left,Man 1,1,0,0,0,-99,9.3,5.045,9.3,6.0,false
63,Burnsville,Farmington,2021,EVHS22,35,Farmington,93,Right,3,8,5,1,4-3,Trips Flex,Left,Pocket Pass,Not Selected,Non Passing Play,Man 1,1,1,0,5,-99,9.8,5.045,9.3,6.0,false
64,Burnsville,Farmington,2021,EVHS22,36,Farmington,98,Right,4,3,5,1,4-3,Double Wide,Left,Inside Run,Left,Non Passing Play,Man 1,1,0,0,3,-99,10.1,5.045,9.8,6.0,false
65,Burnsville,Farmington,2021,EVHS22,37,Burnsville,20,Middle,1,10,6,1,3-4,Thunder,Left,Inside Run,Left,Non Passing Play,Man 1,0,0,0,0,-99,2.0,5.045,2.0,4.0,false
66,Burnsville,Farmington,2021,EVHS22,38,Burnsville,20,Left,2,10,6,1,3-4,Wing,Right,Inside Run,Right,Non Passing Play,Man 1,0,0,0,6,-99,2.6,5.045,2.0,5.045,false
67,Burnsville,Farmington,2021,EVHS22,39,Burnsville,26,Middle,3,4,6,1,3-4,Wing,Right,Inside Run,Right,Non Passing Play,Man 1,1,0,0,0,-99,2.6,5.045,2.6,4.0,false
68,Burnsville,Farmington,2021,EVHS22,40,Farmington,66,Right,1,10,7,1,4-3,Double Wide,Left,Inside Run,Right,Non Passing Play,Man 1,0,0,0,6,-99,7.2,5.045,6.6,6.0,false
69,Burnsville,Farmington,2021,EVHS22,41,Farmington,72,Right,2,4,7,1,4-3,Double Wide,Left,Boot Pass,Not Selected,Flats - Right,Man 1,0,0,0,0,-99,7.2,5.045,7.2,6.0,false
70,Burnsville,Farmington,2021,EVHS22,42,Farmington,72,Right,3,4,7,1,4-3,Double Wide,Left,Pocket Pass,Not Selected,Middle - Left,Man 0,1,0,0,18,-99,9.0,5.045,7.2,6.0,false
71,Burnsville,Farmington,2021,EVHS22,43,Farmington,90,Middle,1,10,7,1,4-3,Double Wide,Right,Pocket Pass,Not Selected,Flats - Left,Man 0,0,0,0,8,-99,9.8,5.045,9.0,4.0,false
72,Burnsville,Farmington,2021,EVHS22,44,Farmington,98,Left,2,2,7,1,4-3,Double Wide,Right,Inside Run,Right,Non Passing Play,Man 0,1,0,0,0,-99,9.8,5.045,9.8,5.045,false
73,Burnsville,Farmington,2021,EVHS22,45,Farmington,98,Left,3,2,7,1,4-3,Boa,Left,Inside Run,Left,Non Passing Play,Man 0,0,0,0,3,-99,10.1,5.045,9.8,5.045,false
74,Burnsville,Farmington,2021,EVHS22,46,Burnsville,43,Right,1,10,8,1,3-4,Twins,Left,Boot Pass,Not Selected,Non Passing Play,Zone 4,0,0,0,1,-99,4.4,5.045,4.3,6.0,false
75,Burnsville,Farmington,2021,EVHS22,47,Burnsville,44,Right,2,9,8,1,3-4,Twins,Left,Inside Run,Right,Non Passing Play,Zone 4,0,0,0,47,-99,9.1,5.045,4.4,6.0,false
76,Burnsville,Farmington,2021,EVHS22,48,Burnsville,85,Right,1,10,8,1,3-4,Wing,Right,Inside Run,Right,Non Passing Play,Man 1,0,0,0,2,-99,8.7,5.045,8.5,6.0,false
77,Burnsville,Farmington,2021,EVHS22,49,Burnsville,87,Right,2,8,8,1,3-4,Wing,Right,Inside Run,Left,Non Passing Play,Man 1,0,0,0,0,-99,8.7,5.045,8.7,6.0,false
78,Burnsville,Farmington,2021,EVHS22,50,Farmington,11,Middle,1,10,9,1,4-3,Trips Flex,Right,Inside Run,Left,Non Passing Play,Man 0,0,0,0,8,-99,1.9,5.045,1.1,4.0,false
79,Burnsville,Farmington,2021,EVHS22,51,Farmington,19,Left,2,2,9,1,4-3,Trips Flex,Right,Outside Run,Right,Non Passing Play,Man 0,1,0,0,7,-99,2.6,5.045,1.9,5.045,false
80,Burnsville,Farmington,2021,EVHS22,52,Farmington,26,Right,1,10,9,1,4-3,Trips Flex,Left,Inside Run,Left,Non Passing Play,Man 1,1,0,0,2,-99,2.8,5.045,2.6,6.0,false
81,Burnsville,Farmington,2021,EVHS22,53,Farmington,28,Right,2,8,9,1,4-3,Double Wide,Left,Pocket Pass,Not Selected,Deep - Right,Man 1,0,0,0,0,-99,2.8,5.045,2.8,6.0,false
82,Burnsville,Farmington,2021,EVHS22,54,Farmington,28,Right,3,8,9,1,4-3,Trips Flex,Right,Pocket Pass,Not Selected,Flats - Right,Zone 3,0,0,0,30,-99,5.8,5.045,2.8,6.0,false
83,Burnsville,Farmington,2021,EVHS22,55,Farmington,58,Right,1,10,9,1,4-3,Double Wide,Left,Pocket Pass,Not Selected,Deep - Right,Zone 4,0,0,0,20,-99,7.8,5.045,5.8,6.0,false
84,Burnsville,Farmington,2021,EVHS22,56,Farmington,78,Middle,1,10,9,1,4-3,Double Wide,Right,Pocket Pass,Not Selected,Middle - Left,Zone 4,0,0,0,11,-99,8.9,5.045,7.8,4.0,false
85,Burnsville,Farmington,2021,EVHS22,57,Farmington,89,Left,1,10,9,1,4-3,Trips Flex,Right,Pocket Pass,Not Selected,Middle - Middle,Man 0,0,0,0,11,-99,10.0,5.045,8.9,5.045,false
86,Burnsville,Farmington,2021,EVHS22,58,Burnsville,10,Right,1,10,10,1,3-4,Wing,Left,Outside Run,Left,Non Passing Play,Zone 4,0,0,0,21,-99,3.1,5.045,1.0,6.0,false
87,Burnsville,Farmington,2021,EVHS22,59,Burnsville,31,Left,1,10,10,1,3-4,Wing,Left,Outside Run,Left,Non Passing Play,Zone 3,0,0,0,5,-99,3.6,5.045,3.1,5.045,false
88,Burnsville,Farmington,2021,EVHS22,60,Burnsville,36,Left,2,5,10,1,3-4,Wing,Right,Pocket Pass,Not Selected,Middle - Right,Zone 3,0,0,0,12,-99,4.8,5.045,3.6,5.045,false
89,Burnsville,Farmington,2021,EVHS22,61,Burnsville,48,Right,1,10,10,1,3-4,Double Wide,Left,Pocket Pass,Not Selected,Non Passing Play,Zone 4,0,0,0,-12,-99,3.6,5.045,4.8,6.0,false
90,Burnsville,Farmington,2021,EVHS22,62,Burnsville,35,Right,1,10,10,1,3-4,Wing,Right,Pocket Pass,Not Selected,Non Passing Play,Man 1,0,0,0,-5,-99,3.0,5.045,3.5,6.0,false
91,Burnsville,Farmington,2021,EVHS22,63,Burnsville,30,Right,2,15,10,1,3-4,Wing,Right,Outside Run,Right,Non Passing Play,Zone 3,0,0,0,-1,-99,2.9,5.045,3.0,6.0,false
92,Burnsville,Farmington,2021,EVHS22,64,Burnsville,29,Right,3,16,10,1,3-4,Wing,Right,Boot Pass,Not Selected,Non Passing Play,Man 2,0,1,0,-8,-99,2.1,5.045,2.9,6.0,false
